"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"57","A117","1B",1,"Acer","12-Mar-19",9.084,7.13269106456334,"17-Apr-19",8.678,6.29366310743768,36,-0.00347625890014993,-0.000487369895693464
"58","A118","1B",1,"Acer","12-Mar-19",8.761,6.45978917625812,"17-Apr-19",7.336,3.97384650130921,36,-0.0134961712323384,-0.00208925877673242
"59","A119","1B",1,"Acer","12-Mar-19",8.457,5.86462190536465,"17-Apr-19",8.249,5.47821773235569,36,-0.00189328325069778,-0.000322831255151487
"60","A120","1B",1,"Acer","12-Mar-19",7.782,4.67052400138985,"17-Apr-19",7.854,4.78974845807717,36,0.000700184022813595,0.000149915517531916
"61","A123","1C",1,"Acer","12-Mar-19",7.384,4.04541677944431,"17-Apr-19",7.297,3.91629138316272,36,-0.000901095851264312,-0.000222744874111114
"62","A124","1C",1,"Acer","12-Mar-19",8.766,6.46988460357139,"17-Apr-19",8.172,5.33938991811283,36,-0.00533463538438552,-0.000824533312609747
"63","A126","1C",1,"Acer","12-Mar-19",7.516,4.24643728832873,"17-Apr-19",7.232,3.82154704207661,36,-0.00292847280024159,-0.000689630530583944
"64","A127","1C",1,"Acer","12-Mar-19",8.605,6.14981519678132,"17-Apr-19",8.764,6.46584523202971,36,0.00139199198041156,0.00022634696098512
"65","A128","1C",1,"Acer","12-Mar-19",7.231,3.82010092506978,"17-Apr-19",7.477,4.18640039017617,36,0.00254345630088683,0.00066580866599496
"66","A129","1C",1,"Acer","12-Mar-19",6.9,3.36030642801948,"17-Apr-19",6.982,3.47073740018084,36,0.000898191944637466,0.000267294654186299
"67","A130","1C",1,"Acer","12-Mar-19",6.309,2.6299099905614,"17-Apr-19",7.165,3.7254234707684,36,0.00967308075874816,0.00367810335466396
"68","A136","3B",3,"Acer","12-Mar-19",7.819,4.73155389942873,"17-Apr-19",7.96,4.96875963073992,36,0.00135879358788845,0.000287177028259682
"69","A137","3B",3,"Acer","12-Mar-19",7.908,4.88042194810638,"17-Apr-19",7.802,4.70345069197408,36,-0.00102597921641195,-0.000210223465782509
"70","A143","4B",4,"Acer","12-Mar-19",8.097,5.2063347765676,"17-Apr-19",7.917,4.89563923382919,36,-0.00170920149501891,-0.000328292660455027
"71","A145","4B",4,"Acer","12-Mar-19",7.885,4.84166980542371,"17-Apr-19",8.264,5.50552571892968,36,0.00356923893633869,0.000737191729254312
"72","A146","4B",4,"Acer","12-Mar-19",8.016,5.06502005864964,"17-Apr-19",7.855,4.79141779742476,36,-0.00154254831116078,-0.00030454929956823
"73","A149","4B",4,"Acer","12-Mar-19",8.09,5.1940248729476,"17-Apr-19",8.411,5.7777253428101,36,0.00295836566409433,0.000569570946705048
"74","A153","0B",0,"Acer","13-Mar-19",9.159,7.29502960846041,"17-Apr-19",8.293,5.5585657808532,35,-0.00776723196562951,-0.00106472932702308
"75","A154","0B",0,"Acer","13-Mar-19",8.339,5.64336145790945,"17-Apr-19",7.947,4.94658089048455,35,-0.00376523664068022,-0.000667197497229786
"76","A155","0B",0,"Acer","13-Mar-19",9.02,6.99599055736328,"17-Apr-19",9.376,7.7778773233101,35,0.00302703588304174,0.000432681527829648
"77","A156","0B",0,"Acer","13-Mar-19",9.405,7.84389834473209,"17-Apr-19",8.966,6.88195229462783,35,-0.00373810209094413,-0.000476561771539864
"78","A157","0B",0,"Acer","13-Mar-19",8.953,6.85467608402895,"17-Apr-19",8.792,6.5225422349656,35,-0.00141905274586463,-0.000207019664892839
"79","A158","0B",0,"Acer","13-Mar-19",8.444,5.83998070470592,"17-Apr-19",8.789,6.51645252566384,35,0.00313150411044113,0.000536218228926292
"80","A159","0B",0,"Acer","13-Mar-19",8.316,5.60086177756596,"17-Apr-19",8.716,6.3693799555522,35,0.00367376148217265,0.000655927896111946
