,Chamber,Channel,Temp.TRT,Leaf.spp.,Beg.Date,Beg.Length.mm,beg.mass.mg,End.Date,End.Length.mm,end.mass.mg,Days.in.expt,igr,igr_norm
107,R016,0C,0,R,12-Mar-19,7.757,4.629571849,17-Apr-19,7.572,4.333595265,36,-0.001835191,-0.000396406
108,R017,0C,0,R,12-Mar-19,8.638,6.214580944,17-Apr-19,8.713,6.363381407,36,0.000657267,0.000105762
109,R018,0C,0,R,12-Mar-19,7.967,4.980728122,17-Apr-19,8.207,5.402213149,36,0.002256462,0.000453039
110,R019,0C,0,R,12-Mar-19,7.73,4.585600291,17-Apr-19,8.128,5.261072595,36,0.003817053,0.0008324
111,R020,0C,0,R,12-Mar-19,7.676,4.498454411,17-Apr-19,7.8,4.700151415,36,0.001218357,0.000270839
112,R033,3D,3,R,12-Mar-19,9.172,7.32340438,17-Apr-19,8.866,6.673900232,36,-0.002579746,-0.000352261
113,R035,3D,3,R,12-Mar-19,8.224,5.432895738,17-Apr-19,8.57,6.081594101,36,0.003133183,0.000576706
114,R036,3D,3,R,12-Mar-19,7.986,5.013306206,17-Apr-19,8.862,6.66566233,36,0.007913158,0.001578431
115,R038,3D,3,R,12-Mar-19,7.43,4.114767535,17-Apr-19,7.675,4.496850597,36,0.002466526,0.000599433
116,R040,3D,3,R,12-Mar-19,8.335,5.63595556,17-Apr-19,9.238,7.46854139,36,0.007820361,0.001387584
117,R043,0A,0,R,12-Mar-19,7.981,5.004719955,17-Apr-19,8.679,6.295648298,36,0.006374366,0.001273671
118,R044,0A,0,R,12-Mar-19,8.592,6.124419546,17-Apr-19,8.784,6.506311031,36,0.00168024,0.000274351
119,R045,0A,0,R,12-Mar-19,8.119,5.245143534,17-Apr-19,8.187,5.366257058,36,0.000634112,0.000120895
120,R046,0A,0,R,12-Mar-19,7.555,4.307017756,17-Apr-19,8.151,5.301919578,36,0.005772867,0.00134034
121,R047,0A,0,R,12-Mar-19,8.608,6.155685205,17-Apr-19,8.645,6.228374527,36,0.000326092,5.29741E-05
122,R048,0A,0,R,12-Mar-19,7.67,4.48883697,17-Apr-19,8.492,5.931291271,36,0.007740231,0.001724329
123,R049,0A,0,R,12-Mar-19,7.991,5.021901799,17-Apr-19,8.319,5.606393654,36,0.003058305,0.000608993
124,R050,0A,0,R,12-Mar-19,7.558,4.311700366,17-Apr-19,8.235,5.452807978,36,0.006522177,0.001512669
125,R053,0D,0,R,12-Mar-19,7.968,4.982439398,17-Apr-19,8.256,5.490950735,36,0.002699495,0.000541802
126,R054,0D,0,R,12-Mar-19,7.429,4.113251949,17-Apr-19,7.55,4.29922058,36,0.001228328,0.000298627
127,R055,0D,0,R,12-Mar-19,8.845,6.63072325,17-Apr-19,10.268,9.974375646,36,0.011341819,0.001710495
128,R056,0D,0,R,12-Mar-19,7.955,4.960221894,17-Apr-19,8.17,5.335814097,36,0.002027528,0.000408757
129,R057,0D,0,R,12-Mar-19,7.67,4.48883697,17-Apr-19,8.393,5.743946168,36,0.006848689,0.001525716
130,R060,0D,0,R,12-Mar-19,7.15,3.704115821,17-Apr-19,7.807,4.711705313,36,0.006683481,0.001804339
131,R063,2B,2,R,12-Mar-19,7.262,3.86509224,17-Apr-19,7.856,4.793087506,36,0.005977479,0.001546529
132,R064,2B,2,R,12-Mar-19,8.099,5.209855289,17-Apr-19,8.162,5.321526013,36,0.000589112,0.000113076
133,R067,2B,2,R,12-Mar-19,8.355,5.673046804,17-Apr-19,9.064,7.089791755,36,0.00619249,0.001091563
134,R068,2B,2,R,12-Mar-19,7.867,4.811478676,17-Apr-19,7.856,4.793087506,36,-0.00010638,-2.21096E-05
135,R069,2B,2,R,12-Mar-19,8.087,5.18875486,17-Apr-19,7.896,4.860178978,36,-0.00181718,-0.000350215
136,R070,2B,2,R,12-Mar-19,8.579,6.099090551,17-Apr-19,8.569,6.079652019,36,-8.86725E-05,-1.45386E-05
137,R075,3A,3,R,12-Mar-19,7.827,4.744815722,17-Apr-19,9.63,8.368238883,36,0.015760857,0.003321701
138,R076,3A,3,R,12-Mar-19,7.94,4.934664563,17-Apr-19,6.483,2.833217349,36,-0.015413104,-0.003123435
139,R077,3A,3,R,12-Mar-19,7.832,4.753116327,17-Apr-19,7.678,4.501663128,36,-0.001509821,-0.000317649
140,R078,3A,3,R,12-Mar-19,8.192,5.375231796,17-Apr-19,8.397,5.75144179,36,0.001879135,0.000349591
141,R079,3A,3,R,12-Mar-19,8.012,5.058105412,17-Apr-19,8.263,5.503702505,36,0.002345252,0.000463662
142,R084,2C,2,R,12-Mar-19,7.165,3.725423471,17-Apr-19,7.19,3.76110878,36,0.000264813,7.10827E-05
143,R085,2C,2,R,12-Mar-19,8.419,5.792778678,17-Apr-19,9.305,7.617731243,36,0.007607403,0.001313256
144,R086,2C,2,R,12-Mar-19,8.061,5.143223517,17-Apr-19,9.448,7.942444441,36,0.012070585,0.002346891
145,R087,2C,2,R,12-Mar-19,8.356,5.674905421,17-Apr-19,9.6,8.297080165,36,0.010551382,0.001859305
146,R088,2C,2,R,12-Mar-19,7.733,4.590472872,17-Apr-19,8.043,5.111850869,36,0.002988292,0.000650977
147,R089,2C,2,R,12-Mar-19,7.801,4.70180087,17-Apr-19,10.317,10.10519412,36,0.021252888,0.004520159
148,R090,2C,2,R,12-Mar-19,6.93,3.400445233,17-Apr-19,7.016,3.517192212,36,0.000937684,0.000275753
149,R093,1A,1,R,12-Mar-19,7.402,4.072464952,17-Apr-19,7.938,4.931263247,36,0.005315187,0.001305152
150,R094,1A,1,R,12-Mar-19,7.96,4.968759631,17-Apr-19,8.36,5.682343752,36,0.003727598,0.000750207
151,R095,1A,1,R,12-Mar-19,7.36,4.009530295,17-Apr-19,6.911,3.374988874,36,-0.004785613,-0.00119356
152,R097,1A,1,R,12-Mar-19,8.527,5.998439641,17-Apr-19,8.99,6.932489136,36,0.004019988,0.000670172
