trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT2,28-Mar-19,4-Apr-19,7,0,0B,A151,A,microbes,3,1.8967,1.9937,0.4796,0.5045,0.9752,0.9963,NA,
CT2,28-Mar-19,4-Apr-19,7,0,0B,A152,A,microbes,3,1.6555,1.82,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,0,0B,A157,A,bug,3,1.697,1.8317,0.484,0.5091,0.9663,0.9846,0.9691,
CT2,28-Mar-19,4-Apr-19,7,0,0B,A158,A,bug,3,1.8324,1.9858,0.4269,0.4615,0.971,1.0004,0.9752,
CT2,28-Mar-19,4-Apr-19,7,3,3C,A161,A,microbes,3,1.833,1.9335,0.3565,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,A162,A,microbes,3,1.8097,1.95,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,A167,A,bug,3,1.6462,1.7647,0.3494,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,A168,A,bug,3,1.716,1.866,0.4805,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,4,4A,A171,A,microbes,3,1.713,1.8485,0.4584,0.4912,1.0143,1.0417,1.0183,
CT2,28-Mar-19,4-Apr-19,7,4,4A,A172,A,microbes,3,1.6612,1.8361,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,4,4A,A177,A,bug,3,1.7144,1.8735,0.6117,0.654,0.9708,1.0049,0.976,
CT2,28-Mar-19,4-Apr-19,7,4,4A,A178,A,bug,3,1.724,1.91,0.6076,0.6458,1.0168,1.0496,1.0211,
CT2,28-Mar-19,4-Apr-19,7,2,2D,A181,A,microbes,3,1.7305,1.9104,0.315,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,2,2D,A182,A,microbes,3,1.7593,1.9215,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,2,2D,A187,A,bug,3,1.8472,1.97,0.3175,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,2,2D,A188,A,bug,3,1.7944,1.9755,0.3423,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,1,1D,A191,A,microbes,3,1.7488,1.9598,0.3741,0.4986,0.9994,1.1129,1.011,
CT2,28-Mar-19,4-Apr-19,7,1,1D,A192,A,microbes,3,1.7594,1.9803,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,1,1D,A197,A,bug,3,1.71,1.8613,0.4095,0.4429,1.0285,1.0582,1.033,
CT2,28-Mar-19,4-Apr-19,7,1,1D,A198,A,bug,3,1.707,1.9029,0.4502,0.4875,0.9823,1.0152,0.9879,
CT2,27-Mar-19,3-Apr-19,7,2,2A,R001,R,microbes,2,1.8104,2.054,0.5333,0.6153,0.9957,1.0748,1.003,
CT2,27-Mar-19,3-Apr-19,7,2,2A,R002,R,microbes,2,1.6808,1.9463,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2A,R007,R,bug,2,1.6146,1.8698,0.5456,0.6252,0.9935,1.0713,0.9977,
CT2,27-Mar-19,3-Apr-19,7,2,2A,R008,R,bug,2,1.7373,2.0548,0.4903,0.5918,0.9763,1.0749,0.9831,
CT2,27-Mar-19,3-Apr-19,7,0,0C,R011,R,microbes,2,1.7573,2.0245,0.3598,0.4416,1.0365,1.1128,1.0428,
CT2,27-Mar-19,3-Apr-19,7,0,0C,R012,R,microbes,2,1.8417,2.056,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0C,R017,R,bug,2,1.6578,1.9162,0.3608,0.4454,1.0163,1.0987,1.0207,
