"","channel","week","mean_temp_C","sd","n","se"
"45","1C","2",10.7834409722222,1.18703915759354,288,0.0699469531556965
"46","1C","3",10.836875,1.62766521801638,336,0.0887964174715101
"47","1C","3c",11.5056041666667,1.15193668080238,48,0.166267738187665
"48","1C","4",13.7641041666667,1.18289416657643,288,0.0697027072176839
"49","1C","5",14.0826875,1.62232155027911,336,0.0885048964965727
"50","1D","1",10.2914861111111,1.73974130535302,432,0.0837033425804898
"51","1D","1b",9.60845833333333,0.608464301941855,48,0.0878242571296019
"52","1D","2",10.7010555555556,1.21515790561506,288,0.0716038662727378
"53","1D","3",10.725068452381,1.6061615533933,336,0.0876232963899128
"54","1D","3c",11.3858958333333,1.16858179621726,48,0.168670253654033
"55","1D","4",13.7023506944444,1.18496286064775,288,0.0698246061848528
"56","1D","5",14.0248154761905,1.69807561718264,336,0.0926376196606944
"57","2A","1",11.0764583333333,1.8822947337272,432,0.0905619476009681
"58","2A","1b",10.5635625,0.66667880895414,48,0.096226797453173
"59","2A","2",11.6079305555556,1.23094845816505,288,0.0725343335049696
"60","2A","3",11.616755952381,1.62609482933632,336,0.0887107457453569
"61","2A","3c",12.3080625,1.18144267031654,48,0.170526560934841
"62","2A","4",14.6329548611111,1.20567373044984,288,0.0710450058916306
"63","2A","5",14.8515892857143,1.66398568926954,336,0.0907778616238205
"64","2B","1",11.1353611111111,1.88787720415648,432,0.0908305343347254
"65","2B","1b",10.624625,0.689943433543187,48,0.0995847567704434
"66","2B","2",11.65565625,1.21058886377814,288,0.071334632900537
"67","2B","3",11.6640208333333,1.5841783960809,336,0.0864240168375531
"68","2B","3c",12.32825,1.18451610552804,48,0.170970173096516
"69","2B","4",14.6646527777778,1.17603873172989,288,0.0692987468453525
"70","2B","5",14.9118601190476,1.68897407739321,336,0.0921410899580072
"71","2C","1",10.9445578703704,1.854241750679,432,0.0892122478247635
"72","2C","1b",10.4798541666667,0.701360895644829,48,0.101232725474905
"73","2C","2",11.4927916666667,1.17728213472331,288,0.0693720150693857
"74","2C","3",11.5251994047619,1.57548191882261,336,0.0859495851076055
"75","2C","3c",12.1667291666667,1.18775781505167,48,0.171438073563041
"76","2C","4",14.5023055555556,1.266772767425,288,0.0746453011723887
"77","2C","5",14.7575238095238,1.66538742371654,336,0.0908543325072444
"78","2D","1",11.0636759259259,1.85827366973309,432,0.0894062336206992
"79","2D","1b",10.537375,0.588284184654741,48,0.0849115080926036
"80","2D","2",11.6302361111111,1.17363063054322,288,0.0691568481221131
"81","2D","3",11.6201041666667,1.57768806420119,336,0.0860699402051224
"82","2D","3c",12.2880625,1.15599882953357,48,0.166854058853524
"83","2D","4",14.6161840277778,1.15277620851651,288,0.0679279895193785
"84","2D","5",14.8621160714286,1.8791338751711,336,0.102515157427706
"85","3A","1",11.9991203703704,2.05953479290921,432,0.0990894139242943
"86","3A","1b",11.5552083333333,0.605451368756466,48,0.0873893776831932
"87","3A","2",12.50209375,1.24261283458909,288,0.0732216634772821
"88","3A","3",12.6467529761905,1.59086840501679,336,0.0867889867464656
"89","3A","3c",13.322,1.14914636217591,48,0.165864990385135
"90","3A","4",15.6600069444444,1.1570651175983,288,0.0681807159106804
"91","3A","5",15.8878482142857,1.7723468961171,336,0.0966894501092456
"92","3B","1",12.0464583333333,2.08312906997089,432,0.100224594108702
"93","3B","1b",11.4106041666667,0.789461242081096,48,0.113948915157574
"94","3B","2",12.6427395833333,1.18618827566565,288,0.0698968144572634
"95","3B","3",12.7148988095238,1.59244381663307,336,0.0868749324962552
"96","3B","3c",13.4002083333333,1.15827878462303,48,0.167183142024685
"97","3B","4",15.7136701388889,1.17513589348826,288,0.0692455465917715
"98","3B","5",15.8895625,1.8819638493899,336,0.102669545178568
"99","3C","1",11.9932222222222,2.06500173910853,432,0.0993524424959464
"100","3C","1b",11.4818125,0.738961308296703,48,0.106659877566455
"101","3C","2",12.5728402777778,1.19633081124745,288,0.0704944690979566
"102","3C","3",12.6249791666667,1.64504901968805,336,0.0897447816027785
"103","3C","3c",13.2935208333333,1.21473403077142,48,0.17533175491492
"104","3C","4",15.6656319444444,1.17110236787788,288,0.0690078688158391
"105","3C","5",15.8529821428571,1.91110334146789,336,0.104259234799519
"106","3D","1",12.0110925925926,2.09101004373667,432,0.100603767635798
"107","3D","1b",11.6136041666667,0.698164150044817,48,0.10077131499173
"108","3D","2",12.6395729166667,1.20721127144261,288,0.071135606363492
"109","3D","3",12.7268154761905,1.61324824875714,336,0.0880099073176732
"110","3D","3c",13.3659583333333,1.18563748825098,48,0.171132030750754
"111","3D","4",15.7216423611111,1.16963957068291,288,0.0689216726645006
"112","3D","5",15.9248660714286,1.81433823219806,336,0.0989802653011899
"113","4A","1",12.9199861111111,2.2842741646316,432,0.109902191987747
"114","4A","1b",12.4596666666667,0.68119036403691,48,0.0983213600115223
"115","4A","2",13.5360520833333,1.17534706894156,288,0.0692579902246924
