"","channel","week","mean_temp_C","sd","n","se"
"58","2D","3",11.6201041666667,1.57768806420119,336,0.0860699402051224
"59","2D","4",14.2835952380952,1.41125582156025,336,0.0769903169910351
"60","2D","5",14.8621160714286,1.8791338751711,336,0.102515157427706
"61","3A","1",11.9991203703704,2.05953479290921,432,0.0990894139242943
"62","3A","2",12.3668244047619,1.21835475146509,336,0.0664667008559271
"63","3A","3",12.6467529761905,1.59086840501679,336,0.0867889867464656
"64","3A","4",15.326005952381,1.41547839915413,336,0.0772206774845083
"65","3A","5",15.8878482142857,1.7723468961171,336,0.0966894501092456
"66","3B","1",12.0464583333333,2.08312906997089,432,0.100224594108702
"67","3B","2",12.4667202380952,1.21627677980044,336,0.0663533382077698
"68","3B","3",12.7148988095238,1.59244381663307,336,0.0868749324962552
"69","3B","4",15.3831755952381,1.42429621755551,336,0.0777017289165168
"70","3B","5",15.8895625,1.8819638493899,336,0.102669545178568
"71","3C","1",11.9932222222222,2.06500173910853,432,0.0993524424959464
"72","3C","2",12.4169791666667,1.20372008058373,336,0.06566831410492
"73","3C","3",12.6249791666667,1.64504901968805,336,0.0897447816027785
"74","3C","4",15.3267589285714,1.43981174087926,336,0.078548170107921
"75","3C","5",15.8529821428571,1.91110334146789,336,0.104259234799519
"76","3D","1",12.0110925925926,2.09101004373667,432,0.100603767635798
"77","3D","2",12.493005952381,1.20258287701259,336,0.0656062745639041
"78","3D","3",12.7268154761905,1.61324824875714,336,0.0880099073176732
"79","3D","4",15.3851160714286,1.43205704304923,336,0.0781251166579493
"80","3D","5",15.9248660714286,1.81433823219806,336,0.0989802653011899
"81","4A","1",12.9199861111111,2.2842741646316,432,0.109902191987747
"82","4A","2",13.3822827380952,1.17936333461933,336,0.0643395446755786
"83","4A","3",13.5223244047619,1.67760919936399,336,0.0915210850314256
"84","4A","4",16.280818452381,1.45327625947205,336,0.0792827198180111
"85","4A","5",16.6596607142857,1.93065684076181,336,0.105325965640182
"86","4B","1",13.0347222222222,2.27033462923265,432,0.109231525778167
"87","4B","2",13.5395416666667,1.18182955234502,336,0.0644740878828192
"88","4B","3",13.723,1.66007920149127,336,0.0905647452435188
"89","4B","4",16.3999494047619,1.41911007865596,336,0.0774188018442343
"90","4B","5",16.8496607142857,1.84874995388891,336,0.100857578627882
"91","4C","1",12.8358680555556,2.33040173063997,432,0.11212150554208
"92","4C","2",13.1936160714286,1.32931644590477,336,0.0725201575703364
"93","4C","3",13.6230505952381,1.65512355325424,336,0.0902943924677601
"94","4C","4",16.3078839285714,1.44189525824206,336,0.078661835298716
"95","4C","5",16.7846607142857,1.77877937967487,336,0.0970403708569842
"96","4D","1",12.9171967592593,2.34842419313342,432,0.112988611673084
"97","4D","2",13.415068452381,1.20879136061987,336,0.0659449751124907
"98","4D","3",13.7056339285714,1.64374580412446,336,0.089673685365076
"99","4D","4",16.3921964285714,1.43879207736825,336,0.0784925429028903
"100","4D","5",16.8976875,1.76487862860142,336,0.0962820227139984
