"","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","beg.mass.mg"
"156",1,"1A","R096","Rhodo",7.975,7.25169272369739
"157",1,"1A","R097","Rhodo",8.527,8.77735104833285
"158",1,"1A","R098","Rhodo",7.191,5.39785943233258
"159",1,"1A","R099","Rhodo",7.504,6.09553965169401
"160",1,"1A","R100","Rhodo",8.411,8.44096358727889
"161",4,"4C","A103","Acer",8.578,8.92795736154816
"162",4,"4C","A104","Acer",8.18,7.79627061278649
"163",4,"4C","A105","Acer",7.605,6.33253793335696
"164",4,"4C","A106","Acer",7.88,7.00795054607496
"165",4,"4C","A107","Acer",7.654,6.44964038640843
"166",4,"4C","A108","Acer",7.774,6.7423391122381
"167",4,"4C","A109","Acer",7.827,6.87431165214992
"168",4,"4C","A110","Acer",8.264,8.02685984829904
"169",4,"4C","R103","Rhodo",7.312,5.66104958982909
"170",4,"4C","R104","Rhodo",8.607,9.0143397751403
"171",4,"4C","R105","Rhodo",7.893,7.04098548845893
"172",4,"4C","R106","Rhodo",8.338,8.23362919291666
"173",4,"4C","R107","Rhodo",7.415,5.89154034674359
"174",4,"4C","R108","Rhodo",8.224,7.916510988786
"175",4,"4C","R109","Rhodo",8.043,7.42949816784208
"176",4,"4C","R110","Rhodo",8.095,7.56736029202794
"177",1,"1B","A113","Acer",8.594,8.97554981478888
"178",1,"1B","A114","Acer",7.959,7.21026196409795
"179",1,"1B","A115","Acer",8.196,7.8398561215573
"180",1,"1B","A116","Acer",7.908,7.07922821039158
"181",1,"1B","A117","Acer",9.084,10.5139611787675
"182",1,"1B","A118","Acer",8.387,8.37242917624545
"183",1,"1B","A119","Acer",8.457,8.57333750999212
"184",1,"1B","A120","Acer",7.782,6.76215309630633
"185",1,"1B","R113","Rhodo",8.1,7.58070311855053
"186",1,"1B","R114","Rhodo",7.417,5.8960751452257
"187",1,"1B","R115","Rhodo",8.223,7.91376496963893
"188",1,"1B","R116","Rhodo",7.718,6.60469627461312
"189",1,"1B","R117","Rhodo",8.053,7.45588233257709
"190",1,"1B","R118","Rhodo",7.683,6.51960369195358
"191",1,"1B","R119","Rhodo",8.541,8.81852830916931
"192",1,"1B","R120","Rhodo",8.171,7.77182307725619
"193",1,"1C","A123","Acer",7.384,5.82154040196369
"194",1,"1C","A124","Acer",8.766,9.49760958757257
"195",1,"1C","A125","Acer",7.57,6.2497446600401
"196",1,"1C","A126","Acer",7.516,6.12339096148151
"197",1,"1C","A127","Acer",8.605,9.00836501623749
"198",1,"1C","A128","Acer",7.231,5.48396476050054
"199",1,"1C","A129","Acer",6.9,4.79775631564181
"200",1,"1C","A130","Acer",6.309,3.71611473717101
"201",1,"1C","R123","Rhodo",7.592,6.30170352095666
"202",1,"1C","R124","Rhodo",8.169,7.76639706250978
"203",1,"1C","R125","Rhodo",8.639,9.11028621468821
"204",1,"1C","R126","Rhodo",8.265,8.02963129054116
"205",1,"1C","R127","Rhodo",7.734,6.64383472918845
"206",1,"1C","R128","Rhodo",8.399,8.40665102129331
"207",1,"1C","R129","Rhodo",7.366,5.78114432334536
"208",1,"1C","R130","Rhodo",7.912,7.08944900177871
"209",3,"3B","A133","Acer",7.869,6.98007666530083
"210",3,"3B","A134","Acer",7.396,5.84857270002639
"211",3,"3B","A135","Acer",8.228,7.92750125393779
"212",3,"3B","A136","Acer",7.819,6.85428472585743
"213",3,"3B","A137","Acer",7.908,7.07922821039158
"214",3,"3B","A138","Acer",7.804,6.81683645424623
"215",3,"3B","A139","Acer",8.298,8.12143788636386
"216",3,"3B","A140","Acer",7.35,5.74538992303029
"217",3,"3B","R133","Rhodo",8.231,7.93575045259027
"218",3,"3B","R134","Rhodo",9.099,10.5635685826752
"219",3,"3B","R135","Rhodo",8.262,8.0213188278262
"220",3,"3B","R136","Rhodo",8.065,7.48762356554927
"221",3,"3B","R137","Rhodo",7.419,5.90061221014472
"222",3,"3B","R138","Rhodo",7.608,6.33966745389016
"223",3,"3B","R139","Rhodo",7.441,5.95066965816622
"224",3,"3B","R140","Rhodo",8.034,7.40580433328196
"225",4,"4B","A143","Acer",8.097,7.57269559067727
"226",4,"4B","A144","Acer",7.812,6.8367922833745
"227",4,"4B","A145","Acer",7.885,7.02064435250199
"228",4,"4B","A146","Acer",8.016,7.35856401536004
"229",4,"4B","A147","Acer",8.149,7.7122721875306
"230",4,"4B","A148","Acer",8.558,8.86869768339447
"231",4,"4B","A149","Acer",8.09,7.55403272808359
"232",4,"4B","A150","Acer",9.223,10.9794893345047
"233",4,"4B","R143","Rhodo",9.375,11.5036532242214
"234",4,"4B","R144","Rhodo",8.55,8.84506553928653
"235",4,"4B","R145","Rhodo",NA,NA
"236",4,"4B","R146","Rhodo",8.466,8.59939340521801
"237",4,"4B","R147","Rhodo",9.036,10.3562348873077
"238",4,"4B","R148","Rhodo",8.483,8.64875031214803
"239",4,"4B","R149","Rhodo",7.758,6.70282435098436
"240",4,"4B","R150","Rhodo",8.788,9.56577227146644
"241",0,"0B","A153","Acer",8.414,8.44955591687757
"242",0,"0B","A154","Acer",8.339,8.2364467935875
"243",0,"0B","A155","Acer",9.02,10.3040031204617
"244",0,"0B","A156","Acer",9.405,11.6089886343945
"245",0,"0B","A157","Acer",8.953,10.087141231473
"246",0,"0B","A158","Acer",8.444,8.53579182604095
"247",0,"0B","A159","Acer",8.316,8.1718002683799
"248",0,"0B","A160","Acer",9.255,11.0885220647158
"249",0,"0B","R153","Rhodo",8.15,7.71497259424071
"250",0,"0B","R154","Rhodo",8.842,9.73442574394098
"251",0,"0B","R155","Rhodo",8.455,8.56755428356599
"252",0,"0B","R156","Rhodo",10.407,15.4964256565014
"253",0,"0B","R157","Rhodo",9.049,10.3987995832917
"254",0,"0B","R158","Rhodo",8.902,9.92407011689334
"255",0,"0B","R159","Rhodo",8.551,8.84801731783636
"256",0,"0B","R160","Rhodo",8.419,8.46388908638452
"257",3,"3C","A163","Acer",8.924,9.99420283248852
"258",3,"3C","A164","Acer",8.629,9.08023206410397
"259",3,"3C","A165","Acer",9.717,12.741809399234
"260",3,"3C","A166","Acer",7.831,6.8843393505058
"261",3,"3C","A167","Acer",8.097,7.57269559067727
"262",3,"3C","A168","Acer",8.4,8.40950693523137
"263",3,"3C","A169","Acer",8.212,7.88359958094703
"264",3,"3C","A170","Acer",8.674,9.21598435767249
"265",3,"3C","R163","Rhodo",8.123,7.64227693039365
"266",3,"3C","R164","Rhodo",9.195,10.8846589503753
"267",3,"3C","R165","Rhodo",8.581,8.93686843054001
"268",3,"3C","R166","Rhodo",9.228,10.9964795866251
"269",3,"3C","R167","Rhodo",8.842,9.73442574394098
"270",3,"3C","R168","Rhodo",8.908,9.94316541425235
"271",3,"3C","R169","Rhodo",8.399,8.40665102129331
"272",3,"3C","R170","Rhodo",9.356,11.4372630047504
"273",4,"4A","A173","Acer",8.208,7.87264889384595
"274",4,"4A","A174","Acer",8.194,7.83439930043048
"275",4,"4A","A175","Acer",8.472,8.6167925422496
"276",4,"4A","A176","Acer",8.001,7.31934694048496
"277",4,"4A","A177","Acer",7.753,6.69050691025232
"278",4,"4A","A178","Acer",7.694,6.54626986940042
"279",4,"4A","A179","Acer",8.297,8.11864590331767
"280",4,"4A","A180","Acer",8.399,8.40665102129331
"281",4,"4A","R173","Rhodo",9.061,10.4381907735979
"282",4,"4A","R174","Rhodo",8.82,9.66548393470441
"283",4,"4A","R175","Rhodo",8.108,7.60208340721952
"284",4,"4A","R176","Rhodo",8.086,7.54338166058044
"285",4,"4A","R177","Rhodo",8.582,8.93984007005176
"286",4,"4A","R178","Rhodo",7.53,6.15598845997066
"287",4,"4A","R179","Rhodo",8.803,9.61242849804334
"288",4,"4A","R180","Rhodo",7.844,6.91699497096852
"289",2,"2D","A183","Acer",8.698,9.28892139146705
"290",2,"2D","A184","Acer",9.995,13.8096303559092
"291",2,"2D","A185","Acer",8.694,9.27673927940951
"292",2,"2D","A186","Acer",8.127,7.65301846183033
"293",2,"2D","A187","Acer",7.969,7.23613811978395
"294",2,"2D","A188","Acer",8.445,8.53867615647778
"295",2,"2D","A189","Acer",8.967,10.1322082003301
"296",2,"2D","A190","Acer",8.428,8.48972856788533
"297",2,"2D","R183","Rhodo",7.874,6.99273766692696
"298",2,"2D","R184","Rhodo",8.213,7.88633879761657
"299",2,"2D","R185","Rhodo",9.749,12.8618905849202
"300",2,"2D","R186","Rhodo",8.702,9.30111388893475
"301",2,"2D","R187","Rhodo",7.384,5.82154040196369
"302",2,"2D","R188","Rhodo",8.817,9.65610742571384
"303",2,"2D","R189","Rhodo",8.281,8.07405892350407
"304",2,"2D","R190","Rhodo",7.968,7.23354779453285
"305",1,"1D","A193","Acer",8.526,8.77441460389515
"306",1,"1D","A194","Acer",9.04,10.3693196406109
"307",1,"1D","A195","Acer",7.545,6.19103919319787
"308",1,"1D","A196","Acer",8.507,8.71874333024309
"309",1,"1D","A197","Acer",9.078,10.49416066471
"310",1,"1D","A198","Acer",8.082,7.53274035186296
"311",1,"1D","A199","Acer",8.039,7.41896150593131
"312",1,"1D","A200","Acer",8.368,8.31842985505001
"313",1,"1D","R193","Rhodo",7.114,5.23458884006133
"314",1,"1D","R194","Rhodo",8.496,8.68661771114765
"315",1,"1D","R195","Rhodo",8.07,7.50087493724303
"316",1,"1D","R196","Rhodo",7.866,6.97248721605205
"317",1,"1D","R197","Rhodo",8.055,7.46116645706622
"318",1,"1D","R198","Rhodo",8.419,8.46388908638452
"319",1,"1D","R199","Rhodo",7.809,6.82930440735447
"320",1,"1D","R200","Rhodo",8.304,8.13820288119235
