trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,20-Mar-19,8,2,2B,R064,R,bug,2,1.785,2.044,0.4239,0.5083,
CT1,12-Mar-19,20-Mar-19,8,2,2B,R065,R,bug,2,1.7791,2.0866,0.4197,0.5204,
CT1,12-Mar-19,20-Mar-19,8,2,2B,R066,R,bug,2,1.7367,1.992,0.3818,0.4582,
CT1,12-Mar-19,20-Mar-19,8,2,2B,A061,A,microbes,3,1.8207,1.9456,0.4514,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2B,A062,A,microbes,3,1.8298,1.973,0.3863,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2B,A063,A,bug,3,1.7551,1.8483,0.4299,0.4531,
CT1,12-Mar-19,20-Mar-19,8,2,2B,A064,A,bug,3,1.775,1.8736,0.4403,0.4665,
CT1,12-Mar-19,20-Mar-19,8,2,2B,A065,A,bug,3,1.876,1.9711,0.4157,0.4314,
CT1,12-Mar-19,20-Mar-19,8,2,2B,A066,A,bug,3,1.8505,1.9581,0.4148,0.445,
CT1,12-Mar-19,20-Mar-19,8,3,3A,R071,R,microbes,2,1.738,1.8927,0.4253,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,3,3A,R072,R,microbes,2,1.7004,1.9423,0.3259,0.4012,Microbes
CT1,12-Mar-19,20-Mar-19,8,3,3A,R073,R,bug,2,1.7799,2.1008,0.3564,0.4443,
CT1,12-Mar-19,20-Mar-19,8,3,3A,R074,R,bug,2,1.8808,2.1039,0.3675,0.4386,
CT1,12-Mar-19,20-Mar-19,8,3,3A,R075,R,bug,2,1.8475,2.088,0.4215,0.4929,
CT1,12-Mar-19,20-Mar-19,8,3,3A,R076,R,bug,2,1.7878,2.0336,0.3953,0.4568,
CT1,12-Mar-19,20-Mar-19,8,3,3A,A071,A,microbes,3,1.591,1.7,0.4092,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,3,3A,A072,A,microbes,3,1.6715,1.8007,0.4404,0.4728,Microbes
CT1,12-Mar-19,20-Mar-19,8,3,3A,A073,A,bug,3,1.7128,1.8378,0.4187,0.448,
CT1,12-Mar-19,20-Mar-19,8,3,3A,A074,A,bug,3,1.7801,1.8726,0.4127,0.4313,
CT1,12-Mar-19,20-Mar-19,8,3,3A,A075,A,bug,3,1.7659,1.9049,0.4418,0.4697,
CT1,12-Mar-19,20-Mar-19,8,3,3A,A076,A,bug,3,1.7835,1.9154,0.4394,0.4685,
CT1,12-Mar-19,20-Mar-19,8,2,2C,R081,R,microbes,2,1.6468,1.9656,0.3909,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2C,R082,R,microbes,2,1.7555,1.903,0.3029,0.3482,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2C,R083,R,bug,2,1.7731,2.0414,0.2828,0.3593,
CT1,12-Mar-19,20-Mar-19,8,2,2C,R084,R,bug,2,1.7559,1.9613,0.3987,0.4664,
CT1,12-Mar-19,20-Mar-19,8,2,2C,R085,R,bug,2,1.788,2.0297,0.445,0.5218,
CT1,12-Mar-19,20-Mar-19,8,2,2C,R086,R,bug,2,1.8807,2.2743,0.2789,0.3861,
CT1,12-Mar-19,20-Mar-19,8,2,2C,A081,A,microbes,3,1.7026,1.8681,0.313,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2C,A082,A,microbes,3,1.7816,1.982,0.3228,0.3698,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2C,A083,A,bug,3,1.7133,1.9304,0.4273,0.4777,
CT1,12-Mar-19,20-Mar-19,8,2,2C,A084,A,bug,3,1.6959,1.9103,0.4022,0.4594,
CT1,12-Mar-19,20-Mar-19,8,2,2C,A085,A,bug,3,1.7664,1.9536,0.472,0.5173,
