"","Beg.Date","End.Date","Days.in.expt","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","End.Length.mm","beg.mass.mg","end.mass.mg","BWP.end.","igr"
"73","13-Mar-19","17-Apr-19",35,0,"0B","A154","Acer",8.339,7.947,8.2364467935875,7.17929000170653,"N",-0.00392481554105249
"74","13-Mar-19","17-Apr-19",35,0,"0B","A155","Acer",9.02,9.376,10.3040031204617,11.5071543619527,"N",0.00315532823321815
"75","13-Mar-19","17-Apr-19",35,0,"0B","A156","Acer",9.405,8.966,11.6089886343945,10.1289848030619,"N",-0.00389653097020959
"76","13-Mar-19","17-Apr-19",35,0,"0B","A157","Acer",8.953,8.792,10.087141231473,9.578199517151,"N",-0.00147919528094694
"77","13-Mar-19","17-Apr-19",35,0,"0B","A158","Acer",8.444,8.789,8.53579182604095,9.56887810050955,"N",0.00326422405081788
"78","13-Mar-19","17-Apr-19",35,0,"0B","A159","Acer",8.316,8.716,8.1718002683799,9.34386947398967,"N",0.00382946346680255
"79","13-Mar-19","17-Apr-19",35,0,"0B","A160","Acer",9.255,9.329,11.0885220647158,11.3433478580956,"N",0.000649170148941293
"80","13-Mar-19","17-Apr-19",35,4,"4A","A173","Acer",8.208,8.421,7.87264889384595,8.46962677274133,"N",0.00208833874595047
"81","13-Mar-19","17-Apr-19",35,4,"4A","A176","Acer",8.001,8.469,7.31934694048496,8.60809011856202,"N",0.0046337532661691
"82","13-Mar-19","17-Apr-19",35,4,"4A","A178","Acer",7.694,7.685,6.54626986940042,6.52444683024612,"N",-0.000095406548563418
"83","13-Mar-19","17-Apr-19",35,2,"2D","A183","Acer",8.698,7.928,9.28892139146705,7.13042800236767,"N",-0.00755574802350168
"84","13-Mar-19","17-Apr-19",35,2,"2D","A184","Acer",9.995,10.31,13.8096303559092,15.0878966999453,"N",0.00252933367737913
"85","13-Mar-19","17-Apr-19",35,2,"2D","A185","Acer",8.694,8.97,9.27673927940951,10.1418823894256,"N",0.0025475287604917
"86","13-Mar-19","17-Apr-19",35,2,"2D","A187","Acer",7.969,8.647,7.23613811978395,9.13437599590034,"N",0.00665592066086664
"87","13-Mar-19","17-Apr-19",35,2,"2D","A188","Acer",8.445,8.793,8.53867615647778,9.58130796608071,"N",0.00329166098831859
"88","13-Mar-19","17-Apr-19",35,2,"2D","A190","Acer",8.428,8.381,8.48972856788533,8.35535223951947,"N",-0.000455848820634865
"89","13-Mar-19","17-Apr-19",35,1,"1D","A193","Acer",8.526,9.225,8.77441460389515,10.9862833878247,"N",0.0064230707036552
"90","13-Mar-19","17-Apr-19",35,1,"1D","A195","Acer",7.545,9.759,6.19103919319787,12.8995660975062,"N",0.0209740205645551
