"","trial","date.start","date.end","days","treatment","channel","chamber","species","mean_temp_C","AFDM_beg_mg","AFDM_end_mg","consumption.rate.mg.day","mean_microbe_consumption","consumption.bug.mg.day.mcorr","consumption.bug.mg.day.mcorr.modmasscorr","consumption.bug.mg.day.modmasscorr"
"30","CT1",2019-03-12,2019-03-20,8,3,"3A","A075","A",11.9991203703704,29.112299,19.3,1.226537375,0.42280961666666,0.803727758333342,0.106967506671835,0.163238912036124
"31","CT1",2019-03-12,2019-03-20,8,3,"3A","A076","A",11.9991203703704,27.6252679,19.9,0.965658487499994,0.42280961666666,0.542848870833334,0.0592166766579485,0.105338869598289
"32","CT1",2019-03-12,2019-03-20,8,2,"2C","A083","A",10.9445578703704,45.4696411,33.9999999999998,1.43370513750002,1.29812330833333,0.135581829166688,0.0197880403642074,0.209247915488311
"33","CT1",2019-03-12,2019-03-20,8,2,"2C","A084","A",10.9445578703704,44.9041504,37.3999999999999,0.938018800000019,1.29812330833333,-0.360104508333312,-0.0566259476002216,0.147502189469007
"34","CT1",2019-03-12,2019-03-20,8,2,"2C","A085","A",10.9445578703704,39.2073552,30.6,1.07591940000001,1.29812330833333,-0.222203908333325,-0.0213397560825103,0.103327874530448
"35","CT1",2019-03-12,2019-03-20,8,2,"2C","A086","A",10.9445578703704,37.0082247,24.8000000000002,1.52602808749998,1.29812330833333,0.227904779166652,0.0252346772926728,0.168968928464013
"36","CT1",2019-03-12,2019-03-21,9,1,"1A","A093","A",10.378325,33.1126221,18.9,1.57918023333333,0.466175610763885,1.11300462256944,0.178264061615659,0.252928942709399
"37","CT1",2019-03-12,2019-03-21,9,1,"1A","A094","A",10.378325,25.9078517,16.9999999999999,0.989761300000009,0.466175610763885,0.523585689236124,0.0819228714285593,0.154863070919988
"38","CT1",2019-03-12,2019-03-21,9,1,"1A","A095","A",10.378325,26.2010691,13.7,1.38900767777777,0.466175610763885,0.922832067013887,0.145535346230549,0.219053629070778
"39","CT1",2019-03-12,2019-03-21,9,1,"1A","A096","A",10.378325,21.6352553,12.4,1.02613947777778,0.466175610763885,0.559963867013896,0.058193999993573,0.106641096472254
